Sample Date	Site	Lake	Transect	Distance	Analyte	Value	Unit
08/01/13	S.0	Stillwater	0	0	Chla	0.04	mg/L
08/01/13	S.0	Stillwater	0	0	NOx	5.04	mg/L
08/01/13	S.R100	Stillwater	R	100	Chla	0.03	mg/L
08/01/13	S.R100	Stillwater	R	100	NOx	4.66	mg/L
08/03/13	R.0	Riverwood	0	0	Chla	0.04	mg/L
08/03/13	R.0	Riverwood	0	0	NOx	7.86	mg/L
08/03/13	R.R100	Riverwood	R	100	Chla	0.08	mg/L
08/03/13	R.R100	Riverwood	R	100	NOx	7.84	mg/L
11/16/13	R.0	Riverwood	0	0	NOx	0.00	mg/L
11/16/13	R.0	Riverwood	0	0	TOC	13.36	mg/L
11/16/13	R.L5	Riverwood	L	5	NOx	0.00	mg/L
11/16/13	R.L5	Riverwood	L	5	TOC	12.34	mg/L
11/16/13	R.L15	Riverwood	L	15	Chla	0.00	mg/L
11/16/13	R.L15	Riverwood	L	15	NOx	0.43	mg/L
11/16/13	R.L15	Riverwood	L	15	TOC	11.58	mg/L
11/16/13	R.L30	Riverwood	L	30	Chla	0.01	mg/L
11/16/13	R.L30	Riverwood	L	30	NOx	0.01	mg/L
11/16/13	R.L30	Riverwood	L	30	TOC	11.97	mg/L
11/16/13	R.L50	Riverwood	L	50	Chla	0.00	mg/L
11/16/13	R.L50	Riverwood	L	50	Chla	0.00	mg/L
11/16/13	R.L50	Riverwood	L	50	NOx	0.00	mg/L
11/16/13	R.L50	Riverwood	L	50	TOC	5.39	mg/L
11/16/13	R.L100	Riverwood	L	100	Chla	0.00	mg/L
11/16/13	R.L100	Riverwood	L	100	NOx	0.00	mg/L
11/16/13	R.L100	Riverwood	L	100	TOC	11.23	mg/L
11/16/13	R.R5	Riverwood	R	5	NOx	0.00	mg/L
11/16/13	R.R5	Riverwood	R	5	TOC	12.51	mg/L
11/16/13	R.R15	Riverwood	R	15	Chla	0.01	mg/L
11/16/13	R.R15	Riverwood	R	15	NOx	0.00	mg/L
11/16/13	R.R15	Riverwood	R	15	TOC	14.78	mg/L
11/16/13	R.R30	Riverwood	R	30	Chla	0.00	mg/L
11/16/13	R.R30	Riverwood	R	30	NOx	0.02	mg/L
11/16/13	R.R30	Riverwood	R	30	TOC	12.87	mg/L
11/16/13	R.R50	Riverwood	R	50	Chla	0.00	mg/L
11/16/13	R.R50	Riverwood	R	50	Chla	0.00	mg/L
11/16/13	R.R50	Riverwood	R	50	NOx	0.00	mg/L
11/16/13	R.R50	Riverwood	R	50	TOC	12.00	mg/L
11/16/13	R.R100	Riverwood	R	100	Chla	0.01	mg/L
11/16/13	R.R100	Riverwood	R	100	NOx	0.00	mg/L
11/16/13	R.R100	Riverwood	R	100	TOC	12.01	mg/L
11/16/13	R.0	Riverwood	0	0	Chla	0.01	mg/L
11/16/13	S.0	Stillwater	0	0	NOx	0.00	mg/L
11/16/13	S.0	Stillwater	0	0	TOC	15.83	mg/L
11/16/13	S.L5	Stillwater	L	5	Chla	0.00	mg/L
11/16/13	S.L5	Stillwater	L	5	NOx	0.00	mg/L
11/16/13	S.L5	Stillwater	L	5	TOC	17.65	mg/L
11/16/13	S.L15	Stillwater	L	15	Chla	0.01	mg/L
11/16/13	S.L15	Stillwater	L	15	NOx	0.00	mg/L
11/16/13	S.L15	Stillwater	L	15	TOC	14.24	mg/L
11/16/13	S.L30	Stillwater	L	30	Chla	0.00	mg/L
11/16/13	S.L30	Stillwater	L	30	NOx	0.00	mg/L
11/16/13	S.L30	Stillwater	L	30	TOC	14.74	mg/L
11/16/13	S.L50	Stillwater	L	50	NOx	0.15	mg/L
11/16/13	S.L50	Stillwater	L	50	TOC	14.23	mg/L
11/16/13	S.L100	Stillwater	L	100	Chla	0.01	mg/L
11/16/13	S.L100	Stillwater	L	100	NOx	0.01	mg/L
11/16/13	S.L100	Stillwater	L	100	TOC	14.96	mg/L
11/16/13	S.R5	Stillwater	R	5	NOx	0.01	mg/L
11/16/13	S.R5	Stillwater	R	5	TOC	14.22	mg/L
11/16/13	S.R15	Stillwater	R	15	Chla	0.01	mg/L
